WL(nm),PL,PE(mW/nm),,
608,0.9643,65.379782,,
609,0.9601,65.094932,,
610,0.9559,64.810078,,
611,0.9485,64.306043,,
612,0.9411,63.802003,,
613,0.9336,63.297968,,
614,0.9262,62.793929,,
615,0.9187,62.289893,,
616,0.9099,61.689433,,
617,0.901,61.088969,,
618,0.8922,60.488508,,
619,0.8833,59.888048,,
620,0.8745,59.287588,,
621,0.8645,58.610953,,
622,0.8545,57.934317,,
623,0.8445,57.257682,,
624,0.8345,56.581047,,
625,0.8246,55.904412,,
626,0.8137,55.16651,,
627,0.8028,54.428603,,
628,0.7919,53.690701,,
629,0.781,52.952794,,
630,0.7701,52.214892,,
631,0.7582,51.401627,,
632,0.7462,50.588358,,
633,0.7342,49.775093,,
634,0.7222,48.961827,,
635,0.7102,48.148562,,
636,0.6973,47.276859,,
637,0.6845,46.405159,,
638,0.6716,45.533456,,
639,0.6587,44.661756,,
640,0.6459,43.790053,,
641,0.6353,43.074494,,
642,0.6248,42.358935,,
643,0.6142,41.643375,,
644,0.6037,40.927816,,
645,0.5931,40.212257,,
646,0.582,39.455454,,
647,0.5708,38.698652,,
648,0.5596,37.941849,,
649,0.5485,37.185046,,
650,0.5373,36.428244,,
651,0.5261,35.669441,,
652,0.5149,34.910634,,
653,0.5037,34.151831,,
654,0.4925,33.393024,,
655,0.4813,32.634218,,
656,0.4701,31.871277,,
657,0.4588,31.108336,,
658,0.4476,30.345393,,
659,0.4363,29.582452,,
660,0.4251,28.819511,,
661,0.4164,28.230002,,
662,0.4077,27.640493,,
663,0.399,27.050986,,
664,0.3903,26.461477,,
665,0.3816,25.871968,,
666,0.3718,25.209881,,
667,0.3621,24.547796,,
668,0.3523,23.885709,,
669,0.3425,23.223622,,
670,0.3328,22.561535,,
671,0.3249,22.029795,,
672,0.3171,21.498056,,
673,0.3092,20.966317,,
674,0.3014,20.434578,,
675,0.2936,19.902839,,
676,0.287,19.459678,,
677,0.2805,19.016518,,
678,0.2739,18.573358,,
679,0.2674,18.130198,,
680,0.2609,17.687038,,
681,0.255,17.286372,,
682,0.2491,16.885708,,
683,0.2431,16.485044,,
684,0.2372,16.084379,,
685,0.2313,15.683714,,
686,0.225,15.254562,,
687,0.2187,14.825411,,
688,0.2123,14.396259,,
689,0.206,13.967107,,
690,0.1997,13.537956,,
691,0.1949,13.210786,,
692,0.19,12.883615,,
693,0.1852,12.556445,,
694,0.1804,12.229274,,
695,0.1756,11.902104,,
696,0.1712,11.60843,,
697,0.1669,11.314756,,
698,0.1626,11.021083,,
699,0.1582,10.727409,,
700,0.1539,10.433735,,
701,0.1501,10.173519,,
702,0.1462,9.913303,,
703,0.1424,9.653086,,
704,0.1385,9.39287,,
705,0.1347,9.132653,,
706,0.1308,8.869209,,
707,0.1269,8.605764,,
708,0.123,8.342319,,
709,0.1192,8.078875,,
710,0.1153,7.81543,,
711,0.1126,7.631492,,
712,0.1098,7.447555,,
713,0.1071,7.263617,,
714,0.1044,7.07968,,
715,0.1017,6.895742,,
716,0.0991,6.718132,,
717,0.0965,6.540521,,
718,0.0939,6.36291,,
719,0.0912,6.185299,,
720,0.0886,6.007689,,
721,0.0865,5.863193,,
722,0.0843,5.718698,,
723,0.0822,5.574202,,
