?®?§(nm),œ‡?‘?‚??,æ¯?‘?‚??(mW/nm),,
606,0.5518,57.32491,,
607,0.5462,56.744122,,
608,0.5406,56.163333,,
609,0.535,55.582544,,
610,0.5294,55.001755,,
611,0.5236,54.392668,,
612,0.5177,53.783587,,
613,0.5118,53.174506,,
614,0.506,52.565419,,
615,0.5001,51.956338,,
616,0.493,51.212076,,
617,0.4858,50.467813,,
618,0.4786,49.723551,,
619,0.4715,48.979289,,
620,0.4643,48.235023,,
621,0.4578,47.558636,,
622,0.4513,46.88225,,
623,0.4448,46.205863,,
624,0.4383,45.529476,,
625,0.4317,44.853086,,
626,0.4255,44.203171,,
627,0.4192,43.553253,,
628,0.413,42.903334,,
629,0.4067,42.253416,,
630,0.4005,41.603498,,
631,0.3936,40.885385,,
632,0.3866,40.167275,,
633,0.3797,39.449163,,
634,0.3728,38.73105,,
635,0.3659,38.01294,,
636,0.3598,37.381694,,
637,0.3538,36.750452,,
638,0.3477,36.119209,,
639,0.3416,35.487963,,
640,0.3355,34.85672,,
641,0.3298,34.266851,,
642,0.3242,33.676981,,
643,0.3185,33.087114,,
644,0.3128,32.497245,,
645,0.3071,31.907375,,
646,0.302,31.369538,,
647,0.2968,30.831704,,
648,0.2916,30.293867,,
649,0.2864,29.75603,,
650,0.2812,29.218194,,
651,0.2757,28.637686,,
652,0.2701,28.057176,,
653,0.2645,27.476669,,
654,0.2589,26.896159,,
655,0.2533,26.315649,,
656,0.2483,25.7986,,
657,0.2434,25.281552,,
658,0.2384,24.764504,,
659,0.2334,24.247454,,
660,0.2284,23.730406,,
661,0.2237,23.244418,,
662,0.2191,22.758431,,
663,0.2144,22.272443,,
664,0.2097,21.786455,,
665,0.205,21.300468,,
666,0.2004,20.820647,,
667,0.1958,20.340828,,
668,0.1912,19.861009,,
669,0.1866,19.38119,,
670,0.1819,18.901369,,
671,0.1785,18.542337,,
672,0.175,18.183305,,
673,0.1716,17.824274,,
674,0.1681,17.465242,,
675,0.1647,17.106211,,
676,0.1614,16.769935,,
677,0.1582,16.43366,,
678,0.155,16.097383,,
679,0.1517,15.761108,,
680,0.1485,15.424832,,
681,0.1455,15.112408,,
682,0.1425,14.799983,,
683,0.1395,14.487558,,
684,0.1364,14.175134,,
685,0.1334,13.862709,,
686,0.1307,13.578115,,
687,0.128,13.293521,,
688,0.1252,13.008927,,
689,0.1225,12.724333,,
690,0.1197,12.439739,,
691,0.1172,12.178091,,
692,0.1147,11.916441,,
693,0.1122,11.654792,,
694,0.1097,11.393143,,
695,0.1071,11.131493,,
696,0.1045,10.86096,,
697,0.1019,10.590427,,
698,0.0993,10.319894,,
699,0.0967,10.049361,,
700,0.0941,9.778828,,
701,0.0923,9.59173,,
702,0.0905,9.404632,,
703,0.0887,9.217533,,
704,0.0869,9.030435,,
705,0.0851,8.843336,,
706,0.0831,8.630827,,
707,0.081,8.418319,,
708,0.079,8.205809,,
709,0.0769,7.993301,,
710,0.0749,7.780792,,
711,0.0729,7.577168,,
712,0.071,7.373545,,
713,0.069,7.169922,,
714,0.0671,6.966299,,
715,0.0651,6.762675,,
716,0.0639,6.63408,,
717,0.0626,6.505485,,
718,0.0614,6.37689,,
