0.09886092,0.7998433
0.10785373,0.8037618
0.12284174,0.8037618
0.13483215,0.7959248
0.14082735,0.8115988
0.14982016,0.8233542
0.1558154,0.8429467
0.1558154,0.8586207
0.1648082,0.8664577
0.173801,0.8860501
0.1857914,0.8899687
0.1977818,0.9017241
0.2217626,0.9095611
0.2457434,0.9134796
0.2697242,0.9134796
0.2997003,0.9134796
0.3176859,0.9134796
0.3416667,0.9095611
0.3656475,0.9095611
0.3896283,0.9056427
0.4166067,0.9017241
0.4405875,0.8978057
0.4645684,0.8899687
0.4885492,0.8860501
0.51253,0.8782131
0.5365108,0.8703762
0.5604916,0.8547022
0.5844725,0.8351097
0.6084533,0.8155172
0.6324341,0.7880878
0.6594125,0.7489028
0.6833933,0.7097179
0.7073741,0.6626959
0.7313549,0.6195925
0.7553357,0.5647335
0.7793166,0.5137931
0.8032974,0.4628527
0.8272782,0.4079937
0.851259,0.3531348
0.8752398,0.2982759
0.9022183,0.2473354
0.9142086,0.2238245
0.9261991,0.2003135
0.948,0.17680253
1.052098,0.102351121
