?®?§(nm),œ‡?‘?‚??,æ¯?‘?‚??(mW/nm),,,
596,0.8889,58.341468,,,
597,0.8811,57.827355,,,
598,0.8732,57.313245,,,
599,0.8654,56.799136,,,
600,0.8576,56.285026,,,
601,0.8488,55.712149,,,
602,0.8401,55.139272,,,
603,0.8314,54.566394,,,
604,0.8226,53.993521,,,
605,0.8139,53.420644,,,
606,0.8063,52.920082,,,
607,0.7987,52.41952,,,
608,0.791,51.918962,,,
609,0.7834,51.4184,,,
610,0.7758,50.917838,,,
611,0.7671,50.345626,,,
612,0.7583,49.773414,,,
613,0.7496,49.201202,,,
614,0.7409,48.628989,,,
615,0.7322,48.056777,,,
616,0.7217,47.369741,,,
617,0.7113,46.682708,,,
618,0.7008,45.995672,,,
619,0.6903,45.308635,,,
620,0.6799,44.621599,,,
621,0.6711,44.048581,,,
622,0.6624,43.475563,,,
623,0.6537,42.902545,,,
624,0.6449,42.329531,,,
625,0.6362,41.756513,,,
626,0.6258,41.07671,,,
627,0.6155,40.396911,,,
628,0.6051,39.717108,,,
629,0.5948,39.037305,,,
630,0.5844,38.357506,,,
631,0.5751,37.745527,,,
632,0.5658,37.133552,,,
633,0.5564,36.521573,,,
634,0.5471,35.909599,,,
635,0.5378,35.29762,,,
636,0.5302,34.802136,,,
637,0.5227,34.306648,,,
638,0.5151,33.81116,,,
639,0.5076,33.315672,,,
640,0.5,32.820188,,,
641,0.4918,32.281354,,,
642,0.4836,31.74252,,,
643,0.4754,31.203686,,,
644,0.4672,30.664852,,,
645,0.459,30.126018,,,
646,0.4509,29.596968,,,
647,0.4429,29.067918,,,
648,0.4348,28.538868,,,
649,0.4268,28.009818,,,
650,0.4187,27.480768,,,
651,0.4111,26.982493,,,
652,0.4035,26.48422,,,
653,0.3959,25.985944,,,
654,0.3883,25.487671,,,
655,0.3807,24.989396,,,
656,0.3744,24.572381,,,
657,0.368,24.155364,,,
658,0.3617,23.738347,,,
659,0.3553,23.32133,,,
660,0.349,22.904313,,,
661,0.342,22.449585,,,
662,0.3351,21.994858,,,
663,0.3282,21.540128,,,
664,0.3213,21.0854,,,
665,0.3143,20.630671,,,
666,0.3073,20.171544,,,
667,0.3003,19.712415,,,
668,0.2933,19.253288,,,
669,0.2863,18.79416,,,
670,0.2794,18.335033,,,
671,0.2746,18.023058,,,
672,0.2698,17.711085,,,
673,0.2651,17.39911,,,
674,0.2603,17.087137,,,
675,0.2556,16.775162,,,
676,0.2501,16.417345,,,
677,0.2447,16.059526,,,
678,0.2392,15.701708,,,
679,0.2338,15.34389,,,
680,0.2283,14.986072,,,
681,0.2242,14.717788,,,
682,0.2202,14.449502,,,
683,0.2161,14.181218,,,
684,0.212,13.912934,,,
685,0.2079,13.644649,,,
686,0.2032,13.334509,,,
687,0.1984,13.024369,,,
688,0.1937,12.714229,,,
689,0.189,12.404089,,,
690,0.1843,12.093948,,,
