496,2.20E-06
497,2.16E-06
498,2.20E-06
499,2.24E-06
500,2.29E-06
501,2.26E-06
502,2.36E-06
503,2.50E-06
504,2.60E-06
505,2.79E-06
506,3.07E-06
507,3.30E-06
508,3.61E-06
509,3.95E-06
510,4.40E-06
511,4.92E-06
512,5.46E-06
513,6.18E-06
514,6.95E-06
515,7.70E-06
516,8.56E-06
517,9.76E-06
518,1.10E-05
519,1.25E-05
520,1.41E-05
521,1.60E-05
522,1.78E-05
523,2.00E-05
524,2.28E-05
525,2.61E-05
526,2.90E-05
527,3.28E-05
528,3.68E-05
529,4.12E-05
530,4.58E-05
531,5.15E-05
532,5.75E-05
533,6.46E-05
534,7.16E-05
535,7.93E-05
536,8.88E-05
537,9.82E-05
538,0.000109285
539,0.000120174
540,0.000133334
541,0.000146714
542,0.00016116
543,0.000175955
544,0.000193986
545,0.000213002
546,0.000233142
547,0.000253546
548,0.000277783
549,0.000302562
550,0.000325897
551,0.000352108
552,0.000382477
553,0.000412086
554,0.000442137
555,0.000473806
556,0.000511212
557,0.000545772
558,0.000580682
559,0.000617599
560,0.000658905
561,0.000696126
562,0.000735434
563,0.000781644
564,0.000821783
565,0.000860834
566,0.000902465
567,0.000948867
568,0.00099162
569,0.001027994
570,0.001069801
571,0.001114188
572,0.001155327
573,0.001193451
574,0.001234336
575,0.001271053
576,0.001308098
577,0.001342599
578,0.001381551
579,0.001414848
580,0.001441108
581,0.001469428
582,0.001504295
583,0.001528607
584,0.001549171
585,0.001571144
586,0.001599954
587,0.001612383
588,0.001627566
589,0.001648338
590,0.001667564
591,0.001673535
592,0.001681853
593,0.00169798
594,0.001701369
595,0.001705983
596,0.00170565
597,0.001716149
598,0.001713342
599,0.001711013
600,0.001704623
601,0.001706771
602,0.001698961
603,0.001687512
604,0.001684454
605,0.001674406
606,0.00166342
607,0.001648462
608,0.001639585
609,0.001625964
610,0.001606535
611,0.00158651
612,0.001578757
613,0.001559226
614,0.001540803
615,0.001524026
616,0.001506188
617,0.001484188
618,0.001461414
619,0.001443726
620,0.001422455
621,0.001396951
622,0.001373052
623,0.001354816
624,0.001332953
625,0.001309256
626,0.001282136
627,0.001264523
628,0.001241029
629,0.001217562
630,0.001193584
631,0.00117229
632,0.001146693
633,0.001123954
634,0.001101538
635,0.001075771
636,0.001050008
637,0.00102492
638,0.001008131
639,0.000985707
640,0.000961622
641,0.000941101
642,0.000919774
643,0.000897576
644,0.000872383
645,0.00085123
646,0.000829522
647,0.000809953
648,0.000791266
649,0.000770301
650,0.000751332
651,0.000730545
652,0.000712931
653,0.000694404
654,0.000672709
655,0.000657356
656,0.000638571
657,0.000620198
658,0.000602905
659,0.000586821
660,0.000570348
661,0.000553882
662,0.000538694
663,0.000522375
664,0.0005076
665,0.00049265
666,0.00047996
667,0.000465089
668,0.000449767
669,0.00043698
670,0.000424433
671,0.000411114
672,0.000398146
673,0.00038801
674,0.000374907
675,0.000362343
676,0.000352035
677,0.000341239
678,0.00033087
679,0.000320534
680,0.000311191
681,0.000300486
682,0.000291744
683,0.000282408
684,0.000274214
685,0.000265315
686,0.00025628
687,0.000248304
688,0.000239835
689,0.000230737
690,0.000224633
691,0.000217962
692,0.000211183
693,0.000203731
694,0.000197113
695,0.000191413
696,0.000184949
697,0.000178241
698,0.000172492
